Station_ID Date Temp_C Humidity_% Wind_kph Precip_mm Condition
WS-100 2023-08-10 9.1 98 22.8 4.4 Rain
WS-101 2024-07-24 28.8 72 5.2 5.3 Snow
WS-102 2023-02-23 4.0 79 38.0 8.0 Snow
WS-103 2024-07-13 32.2 59 1.3 1.6 Rain
WS-104 2025-03-31 31.9 69 0.3 5.2 Sunny
WS-105 2025-12-22 0.7 28 4.1 0.0 Cloudy
WS-106 2023-06-23 10.0 83 15.3 0.0 Sunny
WS-107 2024-07-11 1.2 31 30.3 6.0 Wind
WS-108 2025-11-15 21.5 87 27.3 0.7 Sunny
WS-109 2025-09-23 8.8 39 12.7 3.6 Snow
WS-110 2024-02-23 21.7 30 9.9 3.5 Rain
WS-111 2024-08-15 32.8 42 34.4 2.4 Rain
WS-112 2024-04-16 -0.2 88 33.6 3.8 Snow
WS-113 2023-03-28 17.3 70 3.2 5.1 Wind
WS-114 2025-05-05 -4.3 34 38.8 0.0 Rain
WS-115 2023-12-18 -0.4 27 43.5 0.7 Snow
WS-116 2025-03-31 13.4 71 4.0 3.8 Snow
WS-117 2024-03-29 -1.9 64 33.6 0.6 Rain
WS-118 2024-12-16 26.2 34 23.0 5.2 Rain
WS-119 2023-10-27 24.1 43 10.6 4.9 Rain
WS-120 2025-10-08 2.9 44 34.2 1.5 Wind
WS-121 2024-10-23 25.2 99 20.2 0.9 Rain
WS-122 2023-04-26 1.0 33 21.1 0.0 Rain
WS-123 2023-03-19 15.3 64 20.8 0.0 Sunny
WS-124 2025-11-04 9.7 61 3.5 6.4 Wind
WS-125 2023-03-26 13.5 95 42.9 0.0 Wind
WS-126 2023-11-05 31.4 98 29.3 1.0 Sunny
WS-127 2023-06-22 13.0 68 44.2 5.6 Snow
WS-128 2025-12-06 20.8 30 11.1 0.0 Snow
WS-129 2025-03-04 1.3 72 41.3 3.7 Wind
WS-130 2023-07-13 26.0 31 35.5 1.8 Snow
WS-131 2023-11-04 22.1 61 11.3 1.6 Rain
WS-132 2025-03-13 -1.7 43 41.3 0.9 Cloudy
WS-133 2025-02-10 18.8 35 13.9 6.6 Rain
WS-134 2023-02-07 27.5 92 4.2 0.8 Rain
WS-135 2025-09-22 7.4 52 15.4 0.0 Cloudy
WS-136 2025-11-05 4.1 42 7.0 1.0 Snow
WS-137 2024-11-20 28.4 92 1.7 7.6 Snow
WS-138 2023-12-06 0.2 73 6.9 4.4 Wind
WS-139 2024-05-01 -3.3 71 30.4 6.7 Wind
WS-140 2025-08-18 19.4 82 10.5 3.0 Cloudy
WS-141 2025-08-03 9.7 98 44.3 10.3 Rain
WS-142 2023-10-11 26.1 89 23.7 7.9 Rain
WS-143 2023-07-30 -2.9 86 39.3 1.3 Snow
WS-144 2025-11-17 29.0 61 3.8 4.3 Cloudy
WS-145 2024-03-30 28.2 36 42.6 5.3 Wind
WS-146 2025-03-01 30.4 28 18.7 0.2 Sunny
WS-147 2023-07-22 10.0 28 14.3 4.3 Rain
WS-148 2023-10-12 26.7 42 1.7 5.4 Wind
WS-149 2023-02-08 12.9 25 40.8 0.8 Rain
WS-150 2023-08-16 3.6 44 24.7 2.0 Rain
WS-151 2025-05-09 4.5 40 2.1 0.0 Snow
WS-152 2025-11-21 13.3 39 37.7 0.0 Snow
WS-153 2023-01-04 4.7 43 13.1 2.5 Snow
WS-154 2025-01-08 9.1 98 18.7 1.8 Sunny
WS-155 2025-11-05 33.1 94 22.8 1.4 Snow
WS-156 2023-02-03 -4.2 85 2.0 0.3 Rain
WS-157 2023-08-01 26.5 69 10.9 4.4 Snow
WS-158 2023-12-25 24.4 67 6.0 0.9 Wind
